user_id,order_id,order_date,amount
CG-12520,CA-2017-152156,2017-08-11,261.96
CG-12520,CA-2017-152156,2017-08-11,731.94
DV-13045,CA-2017-138688,2017-12-06,14.62
SO-20335,US-2016-108966,2016-11-10,957.5775
SO-20335,US-2016-108966,2016-11-10,22.368
BH-11710,CA-2015-115812,2015-09-06,48.86
BH-11710,CA-2015-115812,2015-09-06,7.28
BH-11710,CA-2015-115812,2015-09-06,907.152
BH-11710,CA-2015-115812,2015-09-06,18.504
BH-11710,CA-2015-115812,2015-09-06,114.9
BH-11710,CA-2015-115812,2015-09-06,1706.184
BH-11710,CA-2015-115812,2015-09-06,911.424
IM-15070,CA-2017-161389,2017-05-12,407.976
PK-19075,CA-2015-105893,2015-11-11,665.88
KB-16585,CA-2017-137330,2017-09-12,19.46
KB-16585,CA-2017-137330,2017-09-12,60.34
GH-14485,CA-2017-117590,2017-08-12,1097.544
GH-14485,CA-2017-117590,2017-08-12,190.92
LC-16930,CA-2018-120999,2018-10-09,147.168
ON-18715,CA-2017-118255,2017-11-03,45.98
ON-18715,CA-2017-118255,2017-11-03,17.46
JM-15265,CA-2017-105816,2017-11-12,15.26
JM-15265,CA-2017-105816,2017-11-12,1029.95
BS-11590,CA-2015-106376,2015-05-12,1113.024
BS-11590,CA-2015-106376,2015-05-12,167.968
KD-16270,CA-2017-119823,2017-04-06,75.88
KB-16600,US-2018-118038,2018-09-12,1.248
KB-16600,US-2018-118038,2018-09-12,9.708
KB-16600,US-2018-118038,2018-09-12,27.24
SC-20770,CA-2017-127208,2017-12-06,208.16
SC-20770,CA-2017-127208,2017-12-06,16.74
DN-13690,CA-2015-139451,2015-12-10,14.9
DN-13690,CA-2015-139451,2015-12-10,21.39
JC-16105,CA-2016-149734,2016-03-09,200.984
GM-14455,CA-2017-159695,2017-05-04,158.368
RB-19705,US-2018-109484,2018-06-11,5.682
PN-18775,CA-2018-161018,2018-09-11,96.53
ER-13855,CA-2017-149223,2017-06-09,77.88
GZ-14470,CA-2017-129903,2017-01-12,23.92
CL-12565,CA-2017-128867,2017-03-11,75.96
CL-12565,CA-2017-128867,2017-03-11,27.24
DK-13090,CA-2016-110457,2016-02-03,787.53
GG-14650,US-2016-136476,2016-05-04,157.794
SC-20725,CA-2017-103730,2017-12-06,47.04
SC-20725,CA-2017-103730,2017-12-06,30.84
SC-20725,CA-2017-103730,2017-12-06,226.56
SC-20725,CA-2017-103730,2017-12-06,115.02
SC-20725,CA-2017-103730,2017-12-06,68.04
TS-21610,US-2018-107272,2018-05-11,2.388
TS-21610,US-2018-107272,2018-05-11,243.992
LS-16975,US-2017-125969,2017-06-11,81.424
LS-16975,US-2017-125969,2017-06-11,238.56
DW-13585,US-2018-164147,2018-02-02,59.97
DW-13585,US-2018-164147,2018-02-02,78.304
DW-13585,US-2018-164147,2018-02-02,21.456
JD-15895,CA-2017-110366,2017-05-09,82.8
HA-14920,CA-2016-110744,2016-07-09,671.93
JE-16165,CA-2017-114489,2017-05-12,384.45
JE-16165,CA-2017-114489,2017-05-12,149.97
JE-16165,CA-2017-114489,2017-05-12,1951.84
JE-16165,CA-2017-114489,2017-05-12,171.55
DB-13060,CA-2015-104269,2015-01-03,457.568
TT-21070,CA-2017-162733,2017-11-05,5.98
MJ-17740,CA-2017-113817,2017-07-11,27.68
BM-11140,CA-2015-139892,2015-08-09,9.936
BM-11140,CA-2015-139892,2015-08-09,8159.952
BM-11140,CA-2015-139892,2015-08-09,275.928
BM-11140,CA-2015-139892,2015-08-09,1740.06
BM-11140,CA-2015-139892,2015-08-09,32.064
BM-11140,CA-2015-139892,2015-08-09,177.98
BM-11140,CA-2015-139892,2015-08-09,143.976
CS-12130,CA-2015-118962,2015-05-08,20.94
CS-12130,CA-2015-118962,2015-05-08,110.96
CS-12130,CA-2015-118962,2015-05-08,340.144
DK-13150,CA-2015-166191,2015-05-12,24.816
DK-13150,CA-2015-166191,2015-05-12,408.744
MP-17470,CA-2016-102281,2016-12-10,899.136
MP-17470,CA-2016-102281,2016-12-10,71.76
MP-17470,CA-2016-102281,2016-12-10,51.84
MP-17470,CA-2016-102281,2016-12-10,626.352
MP-17470,CA-2016-102281,2016-12-10,19.9
VM-21685,CA-2018-107720,2018-06-11,46.26
FH-14365,US-2018-124303,2018-06-07,2.946
FH-14365,US-2018-124303,2018-06-07,16.056
BS-11755,CA-2015-133690,2015-03-08,218.75
BS-11755,CA-2015-133690,2015-03-08,2.6
HK-14890,CA-2018-126382,2018-03-06,35.168
